Nazwa,Cena,Białko,Tłuszcz,Popiół,Włókno,Wilgotność,Wapń,Fosfor,Węglowodany,Energia,Skład,Opis,species,food_type
Acana Bountiful Catch Sucha Karma dla kota op. 4.5kg,199.00,34.00%,16.00%,9.00%,4.00%,,2.00%,1.40%,,,"Surowy łosoś (18%), dehydratyzowany łosoś (15%), dehydratyzowany śledź (15%), owies bezłuskowy, cały groch, olej rybny (6%), cała zielona soczewica, surowy morszczuk (4%), surowy cały śledź (4%), cała ciecierzyca, cała czerwona soczewica, olej słonecznikowy, surowy pstrąg (3%), włókno soczewicy, węglan wapnia, suszony kelp, świeża cała dynia piżmowa, świeża cała dynia, cała żurawina, całe borówki.","Wysokiej jakości karma z rybami przeznaczona dla wszystkich kotów powyżej roku. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Bountiful Catch to karma sucha dla kotów powyżej 12 miesiąca życia. Przepełniona podstawowymi, a jednocześnie najważniejszymi składnikami odżywczymi, takimi jak: tauryna, EPA i DHA, odpowiadające za zdrowe oczy i serce. Dieta kota, jako mięsożercy, obfitować powinna w różne gatunki mięs i tłuszczy. W skład karmy wchodzą najlepsze składniki pochodzenia zwierzęcego (aż 65%) takie jak mięso łososia, śledzia, morszczuka czy pstrąga. Zawarte ryby są najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawiają wygląd skóry i sierści. Dodatek liofilizowanej wątroby zapewnia smak, którego pragnie Twój Mruczek. Formuła zawiera również świeżą całą żurawinę, która działa zatrważająco dobrze na cały układ moczowy czworonoga. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy powyżej roku mógł sobie z nią poradzić.",cat,dry
Acana First Feast Sucha Karma dla kociąt op. 1.8kg,109.00,36.5%,17.80%,9.00%,1.87%,,1.63%,1.36%,,,"Świeże mięso kurczaka (19%), dehydratyzowane mięso kurczaka (13%), dehydratyzowany śledź (13%), cały owies, cały groch, tłuszcz kurczaka (7%), cała zielona soczewica, dehydratyzowane mięso indyka (5%), cała ciecierzyca, cała czerwona soczewica, surowy cały śledź (4%), świeże jaja z chowu bezklatkowego (4%), olej z rdzawca (2%), włókno soczewicy, surowe mięso przepiórki (1%), świeże organy kurczaka (wątroba, serce) (1%), chrząstki kurczaka (1%), suszony kelp, świeża cała dynia piżmowa, świeża cała dynia, świeża cała żurawina, świeże całe borówki.","Wysokiej jakości karma przeznaczona dla kociąt. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana First Feast to karma, której zadaniem jest zapewnienie wszystkich niezbędnych składników odżywczych potrzebnych do prawidłowego rozwoju kociąt. Formuła przepełniona jest kurczakiem z wolnego wybiegu i całym śledziem, co sprawia, że ma niesamowity smak, który z pewnością przypadnie każdemu małemu Mruczkowi do gustu! Karma zawiera 70% mięsa w proporcjach: 1/3 świeżego lub surowego mięsa co sprawia, że jedzenie dostarcza niezbędnych składników w najbardziej naturalnej formie. 2/3 mięsa jest dehydratyzowane, dzięki czemu stanowi bogate źródło białka. W Acana First Feast Twój mały łowca upoluje aż 5 różnych składników: kurczaka, śledzia, indyka, jaja ściółkowe oraz przepiórkę. Podawanie suchej karmy Acana wspomaga wzrost oraz rozwój mięśni i kości. Zbilansowane kwasy tłuszczowe Omega-3 i Omega-6 wspierają zdrową skórkę i lśniącą sierść. Zawarte w składzie tauryna, EPA oraz DHA pomagają w rozwoju funkcji poznawczych mózgu i zdrowia siatkówki oka.",cat,dry
Acana Grasslands Sucha Karma dla kota op. 1.8kg,139.00,37.0%,18.0%,9.0%,3.0%,,1.9%,1.3%,,,"Surowa kaczka 12%, świeży kurczak 11%, świeże jaja 8%, dehydratyzowany kurczak 7%, dehydratyzowany indyk 7%, dehydratyzowany mintaj 7%, cała fasola pinto, cały groch, surowy indyk 6%, tłuszcz z kurczaka 5%, cała czerwona soczewica, cała ciecierzyca, cała zielona soczewica, surowa przepiórka 4%, świeże organy kurczaka (wątroba, serce) 2%, olej rybny 2%, surowa wątroba indyka 2%, włókno soczewicy, dehydratyzowana kaczka 1%, wątroba kaczki 1%, suszony kelp, świeża cała dynia, świeża cała dynia piżmowa, świeża cała marchew, świeże całe jabłka, świeże całe gruszki, świeża cała cukinia, suszony korzeń cykorii, świeży jarmuż, świeży szpinak, świeże liście rzepy, świeże liście buraków, cała żurawina, całe borówki, całe jagody saskatoon, korzeń kurkumy, ostropest plamisty, korzeń łopianu, lawenda, korzeń prawoślazu lekarskiego, owoce dzikiej róży, ekstrakt tokoferolu z olejów roślinnych, kwas cytrynowy, ekstrakt z rozmarynu","Wysokiej jakości karma z drobiem przeznaczona dla wszystkich kotów powyżej 6 tygodnia życia. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Grasslands to karma sucha dla kotów w każdym wieku. Przepełniona białkiem, a uboga w węglowodany zapewniając szczytową formę kotom wszystkich ras, na każdym etapie ich życia. Dieta kota, jako mięsożercy, obfitować powinna w różne gatunki mięs i tłuszczy. W skład karmy wchodzą najlepsze składniki pochodzenia zwierzęcego (aż 70%) takie jak mięso kaczki, mięso kurczaka czy mięso indyka, a nawet przepiórki, a także świeże jaja z chowu bezklatkowego. Do karmy dodano również dehydratyzowane białoryby oceaniczne, które są najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawia wygląd skóry i sierści. Formuła zawiera, aż 30% zdrowych owoców i warzyw: jabłka, gruszki, szpinak, dynia, marchew i ziemniaki. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy i w każdym wieku mógł sobie z nią poradzić.",cat,dry
Acana Grasslands Sucha Karma dla kota op. 340g,30.00,37.0%,18.0%,9.0%,3.0%,,1.9%,1.3%,,,"Surowa kaczka 12%, świeży kurczak 11%, świeże jaja 8%, dehydratyzowany kurczak 7%, dehydratyzowany indyk 7%, dehydratyzowany mintaj 7%, cała fasola pinto, cały groch, surowy indyk 6%, tłuszcz z kurczaka 5%, cała czerwona soczewica, cała ciecierzyca, cała zielona soczewica, surowa przepiórka 4%, świeże organy kurczaka (wątroba, serce) 2%, olej rybny 2%, surowa wątroba indyka 2%, włókno soczewicy, dehydratyzowana kaczka 1%, wątroba kaczki 1%, suszony kelp, świeża cała dynia, świeża cała dynia piżmowa, świeża cała marchew, świeże całe jabłka, świeże całe gruszki, świeża cała cukinia, suszony korzeń cykorii, świeży jarmuż, świeży szpinak, świeże liście rzepy, świeże liście buraków, cała żurawina, całe borówki, całe jagody saskatoon, korzeń kurkumy, ostropest plamisty, korzeń łopianu, lawenda, korzeń prawoślazu lekarskiego, owoce dzikiej róży, ekstrakt tokoferolu z olejów roślinnych, kwas cytrynowy, ekstrakt z rozmarynu","Wysokiej jakości karma z drobiem przeznaczona dla wszystkich kotów powyżej 6 tygodnia życia. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Grasslands to karma sucha dla kotów w każdym wieku. Przepełniona białkiem, a uboga w węglowodany zapewniając szczytową formę kotom wszystkich ras, na każdym etapie ich życia. Dieta kota, jako mięsożercy, obfitować powinna w różne gatunki mięs i tłuszczy. W skład karmy wchodzą najlepsze składniki pochodzenia zwierzęcego (aż 70%) takie jak mięso kaczki, mięso kurczaka czy mięso indyka, a nawet przepiórki, a także świeże jaja z chowu bezklatkowego. Do karmy dodano również dehydratyzowane białoryby oceaniczne, które są najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawia wygląd skóry i sierści. Formuła zawiera, aż 30% zdrowych owoców i warzyw: jabłka, gruszki, szpinak, dynia, marchew i ziemniaki. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy i w każdym wieku mógł sobie z nią poradzić.",cat,dry
Acana Grasslands Sucha Karma dla kota op. 4.5kg,265.00,37.00%,18.00%,9.00%,3.00%,,1.90%,1.30%,,,"Surowa kaczka (12%), świeży kurczak (11%), świeże jaja (8%), dehydratyzowany kurczak (7%), dehydratyzowany indyk (7%), dehydratyzowany mintaj (7%), cała fasola pinto, cały groch, surowy indyk (6%), tłuszcz z kurczaka (5%), cała czerwona soczewica, cała ciecierzyca, cała zielona soczewica, surowa przepiórka (4%), świeże organy kurczaka (wątroba, serce) (2%), olej rybny (2%), surowa wątroba indyka (2 %), włókno soczewicy, dehydratyzowana kaczka (1%), wątroba kaczki (1%), suszony kelp, świeża cała dynia, świeża cała dynia piżmowa, świeża cała marchew, świeże całe jabłka, świeże całe gruszki, świeża cała cukinia, suszony korzeń cykorii, świeży jarmuż, świeży szpinak, świeże liście rzepy, świeże liście buraków, cała żurawina, całe borówki, całe jagody saskatoon, korzeń kurkumy, ostropest plamisty, korzeń łopianu, lawenda, korzeń prawoślazu lekarskiego, owoce dzikiej róży.","Wysokiej jakości karma z drobiem przeznaczona dla wszystkich kotów powyżej 6 tygodnia życia. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Grasslands to karma sucha dla kotów w każdym wieku. Przepełniona białkiem, a uboga w węglowodany zapewniając szczytową formę kotom wszystkich ras, na każdym etapie ich życia. Dieta kota, jako mięsożercy, obfitować powinna w różne gatunki mięs i tłuszczy. W skład karmy wchodzą najlepsze składniki pochodzenia zwierzęcego (aż 70%) takie jak mięso kaczki, mięso kurczaka czy mięso indyka, a nawet przepiórki, a także świeże jaja z chowu bezklatkowego. Do karmy dodano również dehydratyzowane białoryby oceaniczne, które są najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawia wygląd skóry i sierści. Formuła zawiera, aż 30% zdrowych owoców i warzyw: jabłka, gruszki, szpinak, dynia, marchew i ziemniaki. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy i w każdym wieku mógł sobie z nią poradzić.",cat,dry
Acana Homestead Harvest Sucha Karma dla kota op. 1.8kg,109.00,34.00%,16.00%,8.00%,4.00%,,1.80%,1.20%,,,"Dodatki technologiczne: 1b306(i) ekstrakt tokoferolu z olejów roślinnych: 121 mg, 1a330 kwas cytrynowy: 40 mg. Dodatki sensoryczne: ekstrakt z rozmarynu: 80 mg. Dodatki żywieniowe: 3a890 chlorek choliny (cholina): 2100 mg, 3a370 tauryna: 400 mg, 3b612 (cynk): 160 mg, 3b407 (miedź): 11 mg, 3a821 witamina B1: 25 mg, 3a825i witamina B2: 10 mg, 3a314 niacyna: 50 mg, 3a841 D-pantotenian wapnia: 8 mg, 3a831 witamina B6: 7,5 mg, 3a316 kwas foliowy: 0,75 mg, 3a880 biotyna: 0,25 mg, 3a835 witamina B12: 0,1 mg, 3a672a witamina A: 3750 IU, 3a671 witamina D3: 500 IU, 3a700 witamina E: 255 IU, 3c301 DL-metionina: 99 mg, 3a910 L-karnityna: 50 mg. Dodatki zootechniczne: 4b1707 Enterococcus faecium DSM 10663/NCIMB 10415: 1x109 CFU.","Wysokiej jakości karma z kurczakiem i indykiem z wolnego wybiegu przeznaczona dla kotów dorosłych wszystkich ras. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Homestead Harvest jest bogata w mięso z kurczaka, indyka i kaczki w proporcjach WholePrey, poza mięsem drobiowym zawiera narządy oraz chrząstki, które naturalnie odżywiają Twojego kota. Karma Acana Homestead Harvest zawiera niezbędne witaminy, minerały i przeciwutleniacze, które mają za zadanie wspierać odporność. Tauryna, EPA i DHA to podstawowe składniki odżywcze, których koty potrzebują, aby zachować zdrowe oczy i serce. Za zdrową skórę i sierść odpowiedzialne są kwasy tłuszczowe OMEGA-3 oraz OMEGA-6, a dodatek liofilizowanej wątroby zapewniają smak, który pragną pupile. Formuła bogata w lekkostrawny drób, zawiera aż 65% składników zwierzęcych małych gatunków.",cat,dry
Acana Indoor Entrée Sucha Karma dla kota op. 1.8kg,105.00,37.00%,14.00%,9.00%,6.00%,,1.40%,1.00%,,,"Świeży kurczak (18%), dehydratyzowany kurczak (16%), dehydratyzowany śledź (15%), owies bezłuskowy, cały groch, tłuszcz z kurczaka (5%), zmielona trawa miskant, cała zielona soczewica, surowy indyk (4%), surowy cały śledź (4%), cała ciecierzyca, cała czerwona soczewica, włókno soczewicy, surowy królik (1%), świeże organy kurczaka (wątroba, serce) (1%), surowa wątroba indyka (1%), suszony kelp, świeża cała dynia piżmowa, świeża cała dynia, cała żurawina, całe borówki.","Wysokiej jakości karma przeznaczona dla kotów powyżej roku, spędzających większość czasu w domu. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Indoor Entrée to karma sucha dla kotów powyżej 12 miesiąca życia, przebywających głównie w domu. Przepełniona białkiem zwierzęcym oraz błonnikiem z naturalnych źródeł, pomaga zmniejszyć liczbę kul włosowych w przewodzie pokarmowym, a dzięki obniżonej zawartości tłuszczu (14%), pozwala utrzymać formę kotom niewychodzącym . Dieta kota, jako mięsożercy, obfitować powinna w różne gatunki mięs i tłuszczy. W skład karmy wchodzą najlepsze składniki pochodzenia zwierzęcego (aż 65%) takie jak mięso kurczaka, śledzia, indyka oraz królika. Zawarta ryba jest najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawiają wygląd skóry i sierści. Formuła zawiera również świeżą całą żurawinę, która działa zatrważająco dobrze na cały układ moczowy czworonoga. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy powyżej roku mógł sobie z nią poradzić.",cat,dry
Acana Pacifica Sucha Karma dla kota op. 1.8kg,139.00,37.0%,18.0%,9.0%,3.0%,,1.4%,1.1%,,,"Surowy cały śledź 16%, surowa cała makrela 12%, surowy morszczuk 9%, dehydratyzowany śledź 8%, dehydratyzowany błękitek 8%, dehydratyzowana makrela 8%, cała fasola pinto, cały groch, surowa flądra 5%, olej rybny 5%, cała czerwona soczewica, cała ciecierzyca, cała zielona soczewica, surowy karmazyn czerwonopasy 4%, olej słonecznikowy, włókno soczewicy, suszony kelp, świeża cała dynia piżmowa, świeża cała dynia, świeża cała marchew, świeże całe jabłka, świeże całe gruszki, świeża cała cukinia, suszony korzeń cykorii, świeży jarmuż, świeży szpinak, świeże liście rzepy, świeże liście buraków, cała żurawina, całe borówki, całe jagody saskatoon, korzeń kurkumy, ostropest plamisty, korzeń łopianu, lawenda, korzeń prawoślazu lekarskiego, owoce dzikiej róży, ekstrakt tokoferolu z olejów roślinnych, kwas cytrynowy, ekstrakt z rozmarynu","Wysokiej jakości karma z mięsem ryb przeznaczona dla wszystkich kotów. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Pacifica to karma sucha dla kotów w każdym wieku. Przepełniona jest smakowitymi rybami poławianymi w naturalnym środowisku: śledziem, makrelą, morszczukiem, błękitkiem. Formuła jest przepełniona białkiem, a uboga w węglowodany zapewniając szczytową formę kotom wszystkich ras, na każdym etapie ich życia. Świeże ryby są najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawia wygląd skóry i sierści. Karma zawiera, aż 30% zdrowych owoców i warzyw: dynia, szpinak, marchew, jabłko, gruszka. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy i w każdym wieku mógł sobie z nią poradzić.",cat,dry
Acana Pacifica Sucha Karma dla kota op. 340g,29.00,37.0%,18.0%,9.0%,3.0%,,1.4%,1.1%,,,"Surowy cały śledź 16%, surowa cała makrela 12%, surowy morszczuk 9%, dehydratyzowany śledź 8%, dehydratyzowany błękitek 8%, dehydratyzowana makrela 8%, cała fasola pinto, cały groch, surowa flądra 5%, olej rybny 5%, cała czerwona soczewica, cała ciecierzyca, cała zielona soczewica, surowy karmazyn czerwonopasy 4%, olej słonecznikowy, włókno soczewicy, suszony kelp, świeża cała dynia piżmowa, świeża cała dynia, świeża cała marchew, świeże całe jabłka, świeże całe gruszki, świeża cała cukinia, suszony korzeń cykorii, świeży jarmuż, świeży szpinak, świeże liście rzepy, świeże liście buraków, cała żurawina, całe borówki, całe jagody saskatoon, korzeń kurkumy, ostropest plamisty, korzeń łopianu, lawenda, korzeń prawoślazu lekarskiego, owoce dzikiej róży, ekstrakt tokoferolu z olejów roślinnych, kwas cytrynowy, ekstrakt z rozmarynu","Wysokiej jakości karma z mięsem ryb przeznaczona dla wszystkich kotów. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Pacifica to karma sucha dla kotów w każdym wieku. Przepełniona jest smakowitymi rybami poławianymi w naturalnym środowisku: śledziem, makrelą, morszczukiem, błękitkiem. Formuła jest przepełniona białkiem, a uboga w węglowodany zapewniając szczytową formę kotom wszystkich ras, na każdym etapie ich życia. Świeże ryby są najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawia wygląd skóry i sierści. Karma zawiera, aż 30% zdrowych owoców i warzyw: dynia, szpinak, marchew, jabłko, gruszka. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy i w każdym wieku mógł sobie z nią poradzić.",cat,dry
Acana Pacifica Sucha Karma dla kota op. 4.5kg,249.00,37.00%,18.00%,9.00%,3.00%,,1.20%,0.90%,,,"Surowy cały śledź pacyficzny (14%), surowa cała makrela pacyficzna (13%), surowy cały morszczuk (9%), dehydratyzowany śledz (8%), dehydratyzowany błękitek (8%), dehydratyzowana makrela (8%), cała fasola pinto, cały groch, surowa flądra (5%), olej z rdzawca (5%), cała czerwona soczewica, cała ciecierzyca, cała zielona soczewica, surowy cały karmazyn (4%), olej słonecznikowy, włókno soczewicy, liofilizowana wątroba dorsza (1%).","Wysokiej jakości karma z mięsem ryb przeznaczona dla wszystkich kotów. Acana to kanadyjska karma dla psów i kotów, która powstaje w kuchni NorthStar w Albercie. Zawiera dużą zawartość mięsa w proporcjach WholePray. Obok mięsa mięśniowego w składzie znajdują się organy, chrząstki i szpik, które są naturalnym źródłem związków mineralnych i witamin. Formuły są bez sztucznych suplementów, za to przepełnione są świeżymi owocami i warzywami oraz ziołami, które dostarczają naturalnych składników odżywczych. Acana Pacifica to karma sucha dla kotów w każdym wieku. Przepełniona jest smakowitymi rybami poławianymi w naturalnym środowisku: śledziem, makrelą, morszczukiem, błękitkiem. Formuła jest przepełniona białkiem, a uboga w węglowodany zapewniając szczytową formę kotom wszystkich ras, na każdym etapie ich życia. Świeże ryby są najlepszym źródłem łatwostrawnych, nienasyconych kwasów tłuszczowych Omega3, które są niezbędne dla prawidłowego funkcjonowania układu immunologicznego i nerwowego kota, a także poprawia wygląd skóry i sierści. Karma zawiera, aż 30% zdrowych owoców i warzyw: dynia, szpinak, marchew, jabłko, gruszka. Wielkość i kształt granulki został uśredniony tak, aby kot każdej rasy i w każdym wieku mógł sobie z nią poradzić.",cat,dry
